,Substance,Source,Specific_Measure,Type_Event,Region,PRUID,Time_Period,Year_Quarter,Aggregator,Disaggregator,Unit,Value,Country
4765,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2024 (Jan to Jun),40 to 49 years,Male,Number,Suppr.,Canada
4766,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2024 (Jan to Jun),50 to 59 years,Female,Number,Suppr.,Canada
4767,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2024 (Jan to Jun),50 to 59 years,Male,Number,Suppr.,Canada
4768,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2024 (Jan to Jun),60 years or more,Female,Number,0,Canada
4769,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2024 (Jan to Jun),60 years or more,Male,Number,0,Canada
4770,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2023,0 to 19 years,Female,Number,0,Canada
4771,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2023,0 to 19 years,Male,Number,0,Canada
4772,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2023,20 to 29 years,Female,Number,Suppr.,Canada
4773,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2023,20 to 29 years,Male,Number,Suppr.,Canada
4774,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2023,30 to 39 years,Female,Number,Suppr.,Canada
4775,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2023,30 to 39 years,Male,Number,Suppr.,Canada
4776,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2023,40 to 49 years,Female,Number,Suppr.,Canada
4777,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2023,40 to 49 years,Male,Number,Suppr.,Canada
4778,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2023,50 to 59 years,Female,Number,Suppr.,Canada
4779,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2023,50 to 59 years,Male,Number,Suppr.,Canada
4780,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2023,60 years or more,Female,Number,Suppr.,Canada
4781,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2023,60 years or more,Male,Number,Suppr.,Canada
4782,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2022,0 to 19 years,Female,Number,0,Canada
4783,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2022,0 to 19 years,Male,Number,0,Canada
4784,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2022,20 to 29 years,Female,Number,Suppr.,Canada
4785,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2022,20 to 29 years,Male,Number,Suppr.,Canada
4786,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2022,30 to 39 years,Female,Number,Suppr.,Canada
4787,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2022,30 to 39 years,Male,Number,Suppr.,Canada
4788,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2022,40 to 49 years,Female,Number,Suppr.,Canada
4789,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2022,40 to 49 years,Male,Number,Suppr.,Canada
4790,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2022,50 to 59 years,Female,Number,Suppr.,Canada
4791,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2022,50 to 59 years,Male,Number,Suppr.,Canada
4792,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2022,60 years or more,Female,Number,0,Canada
4793,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2022,60 years or more,Male,Number,0,Canada
4794,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2021,0 to 19 years,Female,Number,0,Canada
4795,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2021,0 to 19 years,Male,Number,0,Canada
4796,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2021,20 to 29 years,Female,Number,Suppr.,Canada
4797,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2021,20 to 29 years,Male,Number,Suppr.,Canada
4798,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2021,30 to 39 years,Female,Number,Suppr.,Canada
4799,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2021,30 to 39 years,Male,Number,Suppr.,Canada
4800,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2021,40 to 49 years,Female,Number,Suppr.,Canada
4801,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2021,40 to 49 years,Male,Number,Suppr.,Canada
4802,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2021,50 to 59 years,Female,Number,Suppr.,Canada
4803,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2021,50 to 59 years,Male,Number,Suppr.,Canada
4804,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2021,60 years or more,Female,Number,Suppr.,Canada
4805,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2021,60 years or more,Male,Number,Suppr.,Canada
4806,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,0 to 19 years,Female,Number,0,Canada
4807,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,0 to 19 years,Male,Number,0,Canada
4808,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,20 to 29 years,Female,Number,Suppr.,Canada
4809,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,20 to 29 years,Male,Number,Suppr.,Canada
4810,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,30 to 39 years,Female,Number,Suppr.,Canada
4811,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,30 to 39 years,Male,Number,Suppr.,Canada
4812,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,40 to 49 years,Female,Number,Suppr.,Canada
4813,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,40 to 49 years,Male,Number,Suppr.,Canada
4814,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,50 to 59 years,Female,Number,Suppr.,Canada
4815,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,50 to 59 years,Male,Number,Suppr.,Canada
4816,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,60 years or more,Female,Number,0,Canada
4817,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,60 years or more,Male,Number,0,Canada
4818,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2019,0 to 19 years,Female,Number,,Canada
4819,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2019,0 to 19 years,Male,Number,,Canada
4820,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2019,20 to 29 years,Female,Number,,Canada
4821,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2019,20 to 29 years,Male,Number,,Canada
4822,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2019,30 to 39 years,Female,Number,,Canada
4823,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2019,30 to 39 years,Male,Number,,Canada
4824,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2019,40 to 49 years,Female,Number,,Canada
4825,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2019,40 to 49 years,Male,Number,,Canada
4826,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2019,50 to 59 years,Female,Number,,Canada
4827,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2019,50 to 59 years,Male,Number,,Canada
4828,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2019,60 years or more,Female,Number,,Canada
4829,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2019,60 years or more,Male,Number,,Canada
4830,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2018,0 to 19 years,Female,Number,,Canada
4831,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2018,0 to 19 years,Male,Number,,Canada
4832,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2018,20 to 29 years,Female,Number,,Canada
4833,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2018,20 to 29 years,Male,Number,,Canada
4834,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2018,30 to 39 years,Female,Number,,Canada
4835,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2018,30 to 39 years,Male,Number,,Canada
4836,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2018,40 to 49 years,Female,Number,,Canada
4837,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2018,40 to 49 years,Male,Number,,Canada
4838,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2018,50 to 59 years,Female,Number,,Canada
4839,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2018,50 to 59 years,Male,Number,,Canada
4840,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2018,60 years or more,Female,Number,,Canada
4841,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2018,60 years or more,Male,Number,,Canada
4842,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2024 (Jan to Jun),0 to 19 years,Female,Number,0,Canada
4843,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2024 (Jan to Jun),0 to 19 years,Male,Number,0,Canada
4844,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2024 (Jan to Jun),20 to 29 years,Female,Number,0,Canada
4845,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2024 (Jan to Jun),20 to 29 years,Male,Number,0,Canada
4846,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2024 (Jan to Jun),30 to 39 years,Female,Number,1,Canada
4847,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2024 (Jan to Jun),30 to 39 years,Male,Number,0,Canada
4848,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2024 (Jan to Jun),40 to 49 years,Female,Number,0,Canada
4849,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2024 (Jan to Jun),40 to 49 years,Male,Number,0,Canada
4850,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2024 (Jan to Jun),50 to 59 years,Female,Number,1,Canada
4851,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2024 (Jan to Jun),50 to 59 years,Male,Number,0,Canada
4852,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2024 (Jan to Jun),60 years or more,Female,Number,0,Canada
4853,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2024 (Jan to Jun),60 years or more,Male,Number,0,Canada
4854,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2023,0 to 19 years,Female,Number,Suppr.,Canada
4855,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2023,0 to 19 years,Male,Number,Suppr.,Canada
4856,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2023,20 to 29 years,Female,Number,0,Canada
4857,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2023,20 to 29 years,Male,Number,0,Canada
4858,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2023,30 to 39 years,Female,Number,Suppr.,Canada
4859,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2023,30 to 39 years,Male,Number,Suppr.,Canada
4860,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2023,40 to 49 years,Female,Number,0,Canada
4861,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2023,40 to 49 years,Male,Number,0,Canada
4862,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2023,50 to 59 years,Female,Number,Suppr.,Canada
4863,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2023,50 to 59 years,Male,Number,Suppr.,Canada
4864,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2023,60 years or more,Female,Number,0,Canada
4865,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2023,60 years or more,Male,Number,0,Canada
4866,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2022,0 to 19 years,Female,Number,0,Canada
4867,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2022,0 to 19 years,Male,Number,0,Canada
4868,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2022,20 to 29 years,Female,Number,1,Canada
4869,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2022,20 to 29 years,Male,Number,1,Canada
4870,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2022,30 to 39 years,Female,Number,0,Canada
4871,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2022,30 to 39 years,Male,Number,2,Canada
4872,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2022,40 to 49 years,Female,Number,2,Canada
4873,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2022,40 to 49 years,Male,Number,1,Canada
4874,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2022,50 to 59 years,Female,Number,0,Canada
4875,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2022,50 to 59 years,Male,Number,0,Canada
4876,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2022,60 years or more,Female,Number,0,Canada
4877,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2022,60 years or more,Male,Number,0,Canada
4878,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2021,0 to 19 years,Female,Number,Suppr.,Canada
4879,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2021,0 to 19 years,Male,Number,Suppr.,Canada
4880,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2021,20 to 29 years,Female,Number,0,Canada
4881,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2021,20 to 29 years,Male,Number,0,Canada
4882,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2021,30 to 39 years,Female,Number,0,Canada
4883,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2021,30 to 39 years,Male,Number,2,Canada
4884,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2021,40 to 49 years,Female,Number,Suppr.,Canada
4885,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2021,40 to 49 years,Male,Number,Suppr.,Canada
4886,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2021,50 to 59 years,Female,Number,0,Canada
4887,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2021,50 to 59 years,Male,Number,0,Canada
4888,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2021,60 years or more,Female,Number,0,Canada
4889,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2021,60 years or more,Male,Number,0,Canada
4890,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2020,0 to 19 years,Female,Number,0,Canada
4891,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2020,0 to 19 years,Male,Number,0,Canada
4892,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2020,20 to 29 years,Female,Number,0,Canada
4893,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2020,20 to 29 years,Male,Number,1,Canada
4894,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2020,30 to 39 years,Female,Number,0,Canada
4895,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2020,30 to 39 years,Male,Number,2,Canada
4896,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2020,40 to 49 years,Female,Number,0,Canada
4897,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2020,40 to 49 years,Male,Number,0,Canada
4898,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2020,50 to 59 years,Female,Number,0,Canada
4899,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2020,50 to 59 years,Male,Number,0,Canada
4900,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2020,60 years or more,Female,Number,0,Canada
4901,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2020,60 years or more,Male,Number,0,Canada
4902,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2019,0 to 19 years,Female,Number,,Canada
4903,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2019,0 to 19 years,Male,Number,,Canada
4904,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2019,20 to 29 years,Female,Number,,Canada
4905,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2019,20 to 29 years,Male,Number,,Canada
4906,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2019,30 to 39 years,Female,Number,,Canada
4907,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2019,30 to 39 years,Male,Number,,Canada
4908,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2019,40 to 49 years,Female,Number,,Canada
4909,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2019,40 to 49 years,Male,Number,,Canada
4910,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2019,50 to 59 years,Female,Number,,Canada
4911,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2019,50 to 59 years,Male,Number,,Canada
4912,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2019,60 years or more,Female,Number,,Canada
4913,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2019,60 years or more,Male,Number,,Canada
4914,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2018,0 to 19 years,Female,Number,,Canada
4915,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2018,0 to 19 years,Male,Number,,Canada
4916,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2018,20 to 29 years,Female,Number,,Canada
4917,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2018,20 to 29 years,Male,Number,,Canada
4918,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2018,30 to 39 years,Female,Number,,Canada
4919,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2018,30 to 39 years,Male,Number,,Canada
4920,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2018,40 to 49 years,Female,Number,,Canada
4921,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2018,40 to 49 years,Male,Number,,Canada
4922,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2018,50 to 59 years,Female,Number,,Canada
4923,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2018,50 to 59 years,Male,Number,,Canada
4924,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2018,60 years or more,Female,Number,,Canada
4925,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2018,60 years or more,Male,Number,,Canada
4926,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2024 (Jan to Jun),0 to 19 years,Female,Number,,Canada
4927,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2024 (Jan to Jun),0 to 19 years,Male,Number,,Canada
4928,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2024 (Jan to Jun),20 to 29 years,Female,Number,,Canada
4929,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2024 (Jan to Jun),20 to 29 years,Male,Number,,Canada
4930,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2024 (Jan to Jun),30 to 39 years,Female,Number,,Canada
4931,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2024 (Jan to Jun),30 to 39 years,Male,Number,,Canada
4932,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2024 (Jan to Jun),40 to 49 years,Female,Number,,Canada
4933,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2024 (Jan to Jun),40 to 49 years,Male,Number,,Canada
4934,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2024 (Jan to Jun),50 to 59 years,Female,Number,,Canada
4935,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2024 (Jan to Jun),50 to 59 years,Male,Number,,Canada
4936,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2024 (Jan to Jun),60 years or more,Female,Number,,Canada
4937,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2024 (Jan to Jun),60 years or more,Male,Number,,Canada
4938,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2023,0 to 19 years,Female,Number,0,Canada
4939,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2023,0 to 19 years,Male,Number,0,Canada
4940,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2023,20 to 29 years,Female,Number,0,Canada
4941,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2023,20 to 29 years,Male,Number,0,Canada
4942,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2023,30 to 39 years,Female,Number,0,Canada
4943,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2023,30 to 39 years,Male,Number,0,Canada
4944,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2023,40 to 49 years,Female,Number,0,Canada
4945,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2023,40 to 49 years,Male,Number,0,Canada
4946,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2023,50 to 59 years,Female,Number,0,Canada
4947,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2023,50 to 59 years,Male,Number,0,Canada
4948,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2023,60 years or more,Female,Number,0,Canada
4949,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2023,60 years or more,Male,Number,0,Canada
4950,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2022,0 to 19 years,Female,Number,Suppr.,Canada
4951,Opioids,Deaths,Age group by sex,Accidental apparent opioid toxicity deaths,Nunavut,62,By year,2022,0 to 19 years,Male,Number,Suppr.,Canada
